epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0066,2.90996,4.93506,1.243,0.02877,0.35709,0.06732,0.01667,2.39942,4.38154,1.0559,0.000204327,0.000204327,0.000204327
2,49.0053,2.50404,3.14099,1.05528,0.03515,0.76242,0.25539,0.07487,2.34739,3.33792,1.07019,0.000408575,0.000408575,0.000408575
3,72.1737,2.47363,2.1703,1.0653,0.54635,0.6335,0.62402,0.19458,2.29974,1.68928,1.08144,0.000608698,0.000608698,0.000608698
4,94.9287,2.41589,1.70443,1.08268,0.67703,0.72835,0.71959,0.2187,2.32392,1.34568,1.09683,0.000606437,0.000606437,0.000606437
5,117.5,2.35685,1.53362,1.08338,0.75604,0.76554,0.77113,0.25635,2.26413,1.15883,1.0836,0.00060025,0.00060025,0.00060025
6,141.195,2.31861,1.42275,1.05553,0.81493,0.77798,0.79776,0.25791,2.28429,1.10576,1.0902,0.000594062,0.000594062,0.000594062
7,163.568,2.29827,1.37886,1.06071,0.77038,0.80628,0.78426,0.25821,2.20482,1.13254,1.05697,0.000587875,0.000587875,0.000587875
8,184.787,2.27708,1.33136,1.05589,0.80026,0.78914,0.78904,0.26396,2.19014,1.09121,1.0519,0.000581687,0.000581687,0.000581687
9,205.425,2.26026,1.27115,1.0478,0.81885,0.81083,0.81014,0.27869,2.19518,1.08066,1.05545,0.0005755,0.0005755,0.0005755
10,227.287,2.26521,1.26971,1.04587,0.84719,0.78243,0.82011,0.27913,2.18655,1.09812,1.04879,0.000569313,0.000569313,0.000569313
11,248.784,2.25376,1.25591,1.05127,0.80965,0.82841,0.81882,0.28163,2.16019,1.07591,1.04742,0.000563125,0.000563125,0.000563125
12,269.59,2.24293,1.22207,1.04731,0.82206,0.81163,0.81402,0.27447,2.17662,1.05405,1.05723,0.000556938,0.000556938,0.000556938
13,290.543,2.23605,1.19744,1.04362,0.82468,0.78048,0.81304,0.27258,2.18116,1.05806,1.04404,0.00055075,0.00055075,0.00055075
