epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5449,2.01358,4.08011,1.61063,0.04562,0.9083,0.33274,0.16864,1.38287,3.58997,1.05124,0.000204327,0.000204327,0.000204327
2,50.9698,1.35518,2.84156,1.09456,0.77377,0.54939,0.85853,0.51725,1.24179,2.29693,0.98082,0.000408575,0.000408575,0.000408575
3,74.2297,1.37366,1.6441,1.12061,0.88445,0.89909,0.95858,0.58756,1.27362,1.07207,1.09603,0.000608698,0.000608698,0.000608698
4,96.4543,1.25922,1.16211,1.07912,0.95032,0.96911,0.97769,0.61741,1.14806,0.88752,0.97274,0.000606437,0.000606437,0.000606437
5,119,1.19784,1.02976,1.05462,0.96692,0.97141,0.98741,0.63246,1.12347,0.8371,0.98059,0.00060025,0.00060025,0.00060025
6,140.656,1.18094,0.93841,1.02981,0.97486,0.97127,0.98821,0.65608,1.05099,0.81646,0.97513,0.000594062,0.000594062,0.000594062
7,164.401,1.14455,0.91709,1.02339,0.95298,0.97483,0.97703,0.66945,1.04,0.7688,0.96295,0.000587875,0.000587875,0.000587875
8,188.407,1.13335,0.88426,1.01929,0.96843,0.98302,0.98586,0.667,1.05425,0.74975,0.98435,0.000581687,0.000581687,0.000581687
9,209.084,1.10172,0.86737,1.01,0.98624,0.98835,0.98675,0.65948,1.0473,0.73945,0.9555,0.0005755,0.0005755,0.0005755
10,229.026,1.10698,0.84858,1.00986,0.98578,0.98695,0.98809,0.65767,1.05959,0.72875,0.97683,0.000569313,0.000569313,0.000569313
11,249.246,1.10007,0.84903,1.00977,0.93145,0.98247,0.97939,0.67263,1.01892,0.71889,0.9631,0.000563125,0.000563125,0.000563125
12,270.767,1.09545,0.82411,1.00378,0.97679,0.98712,0.9887,0.67235,1.03947,0.69729,0.96242,0.000556938,0.000556938,0.000556938
13,293.575,1.08215,0.81813,1.0024,0.9623,0.97624,0.98195,0.66492,1.03013,0.74937,0.97961,0.00055075,0.00055075,0.00055075
14,314.398,1.08176,0.8161,0.99953,0.97779,0.98139,0.98765,0.6813,1.01807,0.68113,0.96291,0.000544563,0.000544563,0.000544563
15,334.767,1.06665,0.80196,0.99865,0.97711,0.98109,0.9861,0.66025,1.07609,0.71289,0.98682,0.000538375,0.000538375,0.000538375
16,355.119,1.075,0.79234,0.99813,0.98584,0.98878,0.98993,0.68494,1.01403,0.66414,0.96155,0.000532187,0.000532187,0.000532187
17,375.224,1.06335,0.768,0.98907,0.98162,0.98233,0.98784,0.68025,1.02806,0.66075,0.95472,0.000526,0.000526,0.000526
18,397.81,1.04858,0.76096,0.98983,0.96733,0.98933,0.98801,0.66172,1.05399,0.67181,0.97056,0.000519812,0.000519812,0.000519812
19,423.741,1.0551,0.75256,0.99212,0.9831,0.98531,0.98896,0.68143,1.01085,0.66678,0.96893,0.000513625,0.000513625,0.000513625
20,449.52,1.03235,0.73554,0.98576,0.97973,0.98903,0.98589,0.67994,1.03502,0.63622,0.96808,0.000507438,0.000507438,0.000507438
21,475.979,1.04303,0.74675,0.98876,0.97923,0.99121,0.98841,0.67996,1.01107,0.65251,0.96098,0.00050125,0.00050125,0.00050125
22,503.764,1.03455,0.72963,0.98961,0.98091,0.98416,0.98899,0.66619,1.08664,0.64441,0.99717,0.000495063,0.000495063,0.000495063
23,527.443,1.03904,0.72032,0.99237,0.98378,0.98686,0.98957,0.67954,1.01886,0.63874,0.97585,0.000488875,0.000488875,0.000488875
24,553.383,1.00558,0.69673,0.9834,0.98185,0.99164,0.99174,0.68965,1.01421,0.60985,0.98085,0.000482687,0.000482687,0.000482687
25,575.575,1.01821,0.69844,0.98749,0.98611,0.98663,0.99063,0.66659,1.0516,0.64976,0.98783,0.0004765,0.0004765,0.0004765
26,599.397,1.0018,0.69192,0.98381,0.98605,0.98543,0.9909,0.68213,1.01266,0.6219,0.97504,0.000470312,0.000470312,0.000470312
27,623.099,1.00829,0.68976,0.98064,0.97523,0.99093,0.98655,0.6829,1.01187,0.61495,0.97687,0.000464125,0.000464125,0.000464125
28,647.293,1.01298,0.69328,0.98496,0.97905,0.98918,0.99108,0.69633,1.01403,0.60496,0.97158,0.000457938,0.000457938,0.000457938
29,671.144,0.98794,0.67351,0.97456,0.98048,0.98293,0.9895,0.68659,1.02059,0.61898,0.98562,0.00045175,0.00045175,0.00045175
30,693.212,0.98343,0.66694,0.97608,0.98365,0.98511,0.98951,0.67357,1.08649,0.59909,1.00326,0.000445562,0.000445562,0.000445562
31,714.231,0.99481,0.6663,0.9793,0.9851,0.98985,0.98884,0.69393,0.99873,0.57775,0.96616,0.000439375,0.000439375,0.000439375
32,734.477,1.00124,0.65881,0.98587,0.98037,0.98307,0.98945,0.69104,1.02387,0.58607,0.97723,0.000433187,0.000433187,0.000433187
33,755.491,0.98557,0.64288,0.9792,0.98468,0.98813,0.98947,0.69482,1.02271,0.58762,0.97879,0.000427,0.000427,0.000427
34,776.849,0.98632,0.63787,0.97917,0.99008,0.99322,0.99065,0.69595,1.0209,0.55731,0.97144,0.000420812,0.000420812,0.000420812
35,798.211,0.96734,0.62211,0.96948,0.98689,0.98987,0.99197,0.69234,1.03252,0.55102,0.98242,0.000414625,0.000414625,0.000414625
36,819.759,0.96506,0.61566,0.96696,0.99054,0.99192,0.99281,0.69942,1.0099,0.53555,0.97968,0.000408438,0.000408438,0.000408438
